交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-10-16 05:25:39,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005550271201510161212727924,`151016817366771111134,`ocBwEs1HKVqA10fnbx40CHbXP_VM,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-16 09:26:02,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1006000271201510161213759509,`151015978066032011960,`ocBwEszrrPA5w2Xennp0LoSA3aqg,`NATIVE,`SUCCESS,`SPDB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-16 08:41:20,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008200271201510161213413804,`151016862366504328888,`ocBwEs009r9VScJcgbxw92YlT4ZA,`NATIVE,`SUCCESS,`PAB_CREDIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-16 08:57:40,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008200271201510161213473363,`151016862366771115564,`ocBwEs009r9VScJcgbxw92YlT4ZA,`NATIVE,`SUCCESS,`PAB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 13:12:49,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1001750271201510191252319596,`151019336066771112539,`ocBwEs4xiLrRJHBARQ_MZBtIpXrE,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 12:17:21,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1002640271201510191252956203,`151019027568174014827,`ocBwEs0p3SE5f70f0OnkrJ3iMTcA,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-19 10:28:11,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1003070271201510191251314776,`151019522266771119530,`ocBwEsxusglXPZWGoAGWv3s5IXQc,`JSAPI,`SUCCESS,`ICBC_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 08:04:12,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004090271201510191250229764,`151019597166771113586,`ocBwEs0Dfxauoo0-7ElRFd4tAzV8,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 14:45:41,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004370271201510191254781903,`151019189366771116704,`ocBwEs4lm_00UARL33AcoqPepMgU,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 08:17:29,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004580271201510191250301360,`151019813566771124180,`ocBwEsx1wgihcnULASnAdBXrbJp8,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-19 14:47:00,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004730271201510191254797289,`151019472366771127039,`ocBwEszAEoe_ZMmL17U7iwGFu-Vs,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-19 20:41:33,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004970271201510191259066256,`151019098066794015797,`ocBwEs2hsJ9zJ9Lc5W38hGDiY5WI,`NATIVE,`SUCCESS,`CFT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 12:50:02,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005920271201510191253424388,`151019097366771115097,`ocBwEs6k9PxRx6nTmdlxPhtZZg3k,`NATIVE,`SUCCESS,`SPDB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 09:43:35,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1006670271201510191250892281,`151019755566771115526,`ocBwEs2kIGWKNdfG_UV-P_0bu03A,`NATIVE,`SUCCESS,`GDB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 11:31:53,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1006870271201510191252224856,`15101966221036319486,`ocBwEs4pemEn7OfdMM9cBMkFkBKM,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-19 13:31:09,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007120271201510191253974077,`151019525066161413662,`ocBwEs1hCm8rEqwtNLj_Vm-RgxFQ,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 06:54:38,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007330271201510191250004991,`151019095066161421046,`ocBwEs5znPM3laqJnSUjiCF4c_jU,`NATIVE,`SUCCESS,`CCB_CREDIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-19 14:38:34,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007840271201510191254718443,`151019671466771113269,`ocBwEs5-nTp9j_TWJb_MMgqSxU5Y,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 08:49:41,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007990271201510191250498876,`151019779566771117010,`ocBwEs9kaRb5XX1vbzSANJ-LR-e4,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 10:21:55,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008120271201510191251209787,`151019952066358315531,`ocBwEs9ksd-3bqbvkVMAO7XDSK88,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 10:19:57,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1009150271201510191251183484,`151019099566771116126,`ocBwEs9DIaU7uLSDD_wWggYh8OMg,`NATIVE,`SUCCESS,`CFT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 11:47:48,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1009760271201510191252460199,`151019490466771111773,`ocBwEs1vqaWoLd-wz1rNbLRBoFKE,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-19 16:06:52,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1009900271201510191255409983,`151019519366771118797,`ocBwEsz0NSA50YW_7VveqGUQBvMQ,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-09 08:35:11,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1003060271201510091135088819,`151009298866771111131,`ocBwEs1CDXmlfzGclspQQmsNxnF4,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-09 09:37:55,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005290271201510091135459260,`151009299066771123594,`ocBwEszpziqx9-sEvzbbciDkQFAY,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-09 11:27:15,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005600271201510091136733981,`151009323066946215770,`ocBwEs6g_ivZW7wShQ4IMntgEDIs,`NATIVE,`SUCCESS,`GDB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-09 06:40:13,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1006700271201510091134692100,`151009119166771113705,`ocBwEsx7DDpPHm4BD4pTvyD-MzqM,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-09 14:06:28,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007190271201510091138796600,`151009980466771118097,`ocBwEs46x42I5eEarUyi78seFGBs,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
